identifiant GO	définition	occurence	pvalue
GO:0004066	F:asparagine synthase (glutamine-hydrolyzing) activity	{'GO:0000006': 0}	1.0
GO:0004067	F:asparaginase activity	{'GO:0000006': 0}	1.0
GO:0004068	F:aspartate 1-decarboxylase activity	{'GO:0000006': 0}	1.0
GO:0004069	F:L-aspartate:2-oxoglutarate aminotransferase activity	{'GO:0000006': 0}	1.0
GO:0004070	F:aspartate carbamoyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004071	F:aspartate-ammonia ligase activity	{'GO:0000006': 0}	1.0
GO:0004072	F:aspartate kinase activity	{'GO:0000006': 0}	1.0
GO:0004073	F:aspartate-semialdehyde dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0004075	F:biotin carboxylase activity	{'GO:0000006': 0}	1.0
GO:0004076	F:biotin synthase activity	{'GO:0000006': 0}	1.0
GO:0004077	F:biotin-[acetyl-CoA-carboxylase] ligase activity	{'GO:0000006': 0}	1.0
GO:0004084	F:branched-chain-amino-acid transaminase activity	{'GO:0000006': 0}	1.0
GO:0004087	F:carbamoyl-phosphate synthase (ammonia) activity	{'GO:0000006': 0}	1.0
GO:0004088	F:carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	{'GO:0000006': 0}	1.0
GO:0004089	F:carbonate dehydratase activity	{'GO:0000006': 0}	1.0
GO:0004096	F:catalase activity	{'GO:0000006': 0}	1.0
GO:0004106	F:chorismate mutase activity	{'GO:0000006': 0}	1.0
GO:0004107	F:chorismate synthase activity	{'GO:0000006': 0}	1.0
GO:0004108	F:citrate (Si)-synthase activity	{'GO:0000006': 0}	1.0
GO:0004109	F:coproporphyrinogen oxidase activity	{'GO:0000006': 0}	1.0
GO:0004112	F:cyclic-nucleotide phosphodiesterase activity	{'GO:0000006': 0}	1.0
GO:0004113	F:2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	{'GO:0000006': 0}	1.0
GO:0004115	F:3',5'-cyclic-AMP phosphodiesterase activity	{'GO:0000006': 0}	1.0
GO:0004121	F:cystathionine beta-lyase activity	{'GO:0000006': 0}	1.0
GO:0004123	F:cystathionine gamma-lyase activity	{'GO:0000006': 0}	1.0
GO:0004124	F:cysteine synthase activity	{'GO:0000006': 0}	1.0
GO:0004125	F:L-seryl-tRNASec selenium transferase activity	{'GO:0000006': 0}	1.0
GO:0004126	F:cytidine deaminase activity	{'GO:0000006': 0}	1.0
GO:0004127	F:cytidylate kinase activity	{'GO:0000006': 0}	1.0
GO:0004129	F:cytochrome-c oxidase activity	{'GO:0000006': 0}	1.0
GO:0004130	F:cytochrome-c peroxidase activity	{'GO:0000006': 0}	1.0
GO:0004131	F:cytosine deaminase activity	{'GO:0000006': 0}	1.0
GO:0004133	F:glycogen debranching enzyme activity	{'GO:0000006': 0}	1.0
GO:0004134	F:4-alpha-glucanotransferase activity	{'GO:0000006': 0}	1.0
GO:0004135	F:amylo-alpha-1,6-glucosidase activity	{'GO:0000006': 0}	1.0
GO:0004139	F:deoxyribose-phosphate aldolase activity	{'GO:0000006': 0}	1.0
GO:0004140	F:dephospho-CoA kinase activity	{'GO:0000006': 0}	1.0
GO:0004141	F:dethiobiotin synthase activity	{'GO:0000006': 0}	1.0
GO:0004143	F:diacylglycerol kinase activity	{'GO:0000006': 0}	1.0
GO:0004145	F:diamine N-acetyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004146	F:dihydrofolate reductase activity	{'GO:0000006': 0}	1.0
GO:0004148	F:dihydrolipoyl dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0004149	F:dihydrolipoyllysine-residue succinyltransferase activity	{'GO:0000006': 0}	1.0
GO:0004150	F:dihydroneopterin aldolase activity	{'GO:0000006': 0}	1.0
GO:0004151	F:dihydroorotase activity	{'GO:0000006': 0}	1.0
GO:0004152	F:dihydroorotate dehydrogenase activity	{'GO:0000006': 0}	1.0
GO:0004155	F:6,7-dihydropteridine reductase activity	{'GO:0000006': 0}	1.0
GO:0004156	F:dihydropteroate synthase activity	{'GO:0000006': 0}	1.0
GO:0004159	F:dihydrouracil dehydrogenase (NAD+) activity	{'GO:0000006': 0}	1.0
